sp_common_name_uppercase_IBP,sp_scientific_name_IBP,species_4code_IBP,species_6code_IBP,species_4code_LPBBC,BOTW_citation,BOTW_reference,sp_weight_g,weight_reference,habitat_guild_BOTW,food_item_BOTW,nest_guild_BOTW,forage_behavior_BOTW,conservation_status_BOTW,food_foraging_guild_degraaf,habitat_foraging_guild_degraaf,behaviour_foraging_guild_degraaf,sp_common_name_uppercase_NHIC,sp_scientific_name_NHIC,sp_common_name_lowercase_NHIC,sp_common_name_noun_NHIC,sp_common_name_sentence_NHIC,sp_author_NHIC,sp_french_name_NHIC,sp_common_name_AOS,sp_french_name_AOS,sp_order_AOS,sp_family_AOS,sp_subfamily_name_AOS,sp_genus_AOS,sp_scientific_name_AOS,status_introduced_AOS,sp_common_name_PFN,sp_Ojibwe_name_PFN,sp_name_meaning_PFN,sp_latin_name_PFN,Breeding.Biome,Winter.Biome,Family,bird.group,Migrate,AI,native,popest,popestlci,popestuci,first_year_popest,last_year_popest,Pop.source,Trajectory_data_source,Trajectory_firstyear,Trajectory_lastyear,Loss_med,Loss_lci,Loss_uci,Loss_lqrt,Loss_uqrt,PopUsCa,PopLC95,PopUC95,TimeAdj.meanlog,TimeAdj.sdlog,Distance Adj.,Pair Adj.
Carolina Wren,Thryothorus ludovicianus,CARW,THRLUD,CARW,"Haggerty and Morton, 2020","Haggerty, T. M., & Morton, E. S. (2020). Carolina Wren (Thryothorus ludovicianus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.carwre.01species_shared.bow.project_name",19.47,Long Point Bird Observatory,open woodlands,insects,cavity,ground forager,low concern,Insectwore,lower-canopy,gleaner,Carolina Wren,Thryothorus ludovicianus,carolina wren,Carolina wren,Carolina wren,"(Latham, 1790)",Troglodyte de Caroline,Carolina Wren,Troglodyte de Caroline,Passeriformes,Troglodytidae,,Thryothorus,Thryothorus ludovicianus,,,,,,Eastern Forest,Temperate North America,Troglodytidae,landbird,R,other,native,17733395,15969003,19620346,2006,2015,PIF0615,BBS7017,1970,2017,-6141403.938,-9569560.406,-3307512.057,-7228508.123,-5116236.32,17733394.6,15969003,19620346,0.2685187,0.014746994,200,1.5
Canada Warbler,Cardellina canadensis,CAWA,CADCAN,CAWA,"Reitsma et al., 2020","Reitsma, L. R., Hallworth, M. T., McMahon, M., & Conway, C. J. (2020). Canada Warbler (Cardellina canadensis), version 2.0. Birds of the World. https://doi.org/10.2173/bow.canwar.02species_shared.bow.project_name",10.4,Birds of the World,forests,insects,ground,foliage gleaner,declining,Insectivore,lower-canopy,gleaner,Canada Warbler,Cardellina canadensis,canada warbler,Canada warbler,Canada warbler,"(Linnaeus, 1766)",Paruline du Canada,Canada Warbler,Paruline du Canada,Passeriformes,Parulidae,,Cardellina,Cardellina canadensis,,,,,,Boreal Forest,South America,Parulidae,landbird,M,other,native,2597361,2028500,3242734,2006,2015,PIF0615,BBS7017,1970,2017,4205252.284,3134018.773,5321448.573,3820759.86,4572028.716,2597361.248,2028499.5,3242733.5,0.144498738,0.005886014,100,2
Cedar Waxwing,Bombycilla cedrorum,CEDW,BOMCED,CEDW,"Witmer et al., 2020","Witmer, M. C., Mountjoy, D. J., & Elliott, L. (2020). Cedar Waxwing (Bombycilla cedrorum), version 1.0. Birds of the World. https://doi.org/10.2173/bow.cedwax.01species_shared.bow.project_name",33.1,Long Point Bird Observatory,open woodlands,fruit,tree,foliage gleaner,low concern,Insectivore,air,sallier,Cedar Waxwing,Bombycilla cedrorum,cedar waxwing,cedar waxwing,Cedar waxwing,"(Vieillot, 1808)",Jaseur d'Amérique,Cedar Waxwing,Jaseur d'Amérique,Passeriformes,Bombycillidae,,Bombycilla,Bombycilla cedrorum,,Cedar waxwing,O'-gi-ma-bin-ne'-shi,The bird that is chief - Ogima bineshi ,Ampelis cedrorum,Forest Generalist,Temperate North America,Bombycillidae,landbird,M,other,native,63975308,58030057,70240507,2006,2015,PIF0615,BBS7017,1970,2017,-10843832.08,-17349787.05,-5082236.298,-12999885.12,-8817488.924,63975307.86,58030057,70240507,0.251384113,0.021058939,100,1.75
Chipping Sparrow,Spizella passerina,CHSP,SPIPAS,CHSP,"Middleton, 2020","Middleton, A. L. (2020). Chipping Sparrow (Spizella passerina), version 1.0. Birds of the World. https://doi.org/10.2173/bow.chispa.01species_shared.bow.project_name",12.18,Long Point Bird Observatory,open woodlands,seeds,shrub,ground forager,low concern,Omnivore,ground,forage,Chipping Sparrow,Spizella passerina,chipping sparrow,chipping sparrow,Chipping sparrow,"(Bechstein, 1798)",Bruant familier,Chipping Sparrow,Bruant familier,Passeriformes,Passerellidae,,Spizella,Spizella passerina,,,,,,Forest Generalist,Temperate North America,Passerellidae,landbird,M,other,native,230957566,213377234,249914852,2006,2015,PIF0615,BBS7017,1970,2017,79503437.13,60736278.11,98183879.99,72857128.71,86031359.57,230957566,213377233.5,249914851.5,0.695273332,0.023465322,125,2
Chimney Swift,Chaetura pelagica,CHSW,CHAPEL,CHSW,"Steeves et al., 2020","Steeves, T. K., Kearney-McGee, S. B., Rubega, M. A., Cink, C. L., & Collins, C. T. (2020). Chimney Swift (Chaetura pelagica), version 1.0. Birds of the World. https://doi.org/10.2173/bow.chiswi.01species_shared.bow.project_name",22.88,Long Point Bird Observatory,towns,insects,building,aerial forager,declining,Insectivore,air,screener,Chimney Swift,Chaetura pelagica,chimney swift,chimney swift,Chimney swift,"(Linnaeus, 1758)",Martinet ramoneur,Chimney Swift,Martinet ramoneur,Apodiformes,Apodidae,Chaeturinae,Chaetura,Chaetura pelagica,,Chimney Swift,Me-mit'-ti-go-ning-gue-ga-ne'-si,"Wooden quills, in allusion to the stiff tail-feathers",Choetura pelasgica,Eastern Forest,South America,Apodidae,landbird,M,AI,native,8808551,8013311,9665731,2006,2015,PIF0615,BBS7017,1970,2017,17811322.5,15899653.17,19800342.73,17135663.97,18491796.25,8808551.484,8013310.5,9665730.5,0.281915163,0.018153048,200,1.75
Common Grackle,Quiscalus quiscula,COGR,QUIQUI,COGR,"Peer and Bollinger, 2020","Peer, B. D., & Bollinger, E. K. (2020). Common Grackle (Quiscalus quiscula), version 1.0. Birds of the World. https://doi.org/10.2173/bow.comgra.01species_shared.bow.project_name",110.56,Birds of the World,open woodlands,omnivore,tree,ground forager,common bird in steep decline,Omnivore,ground,forager,Common Grackle,Quiscalus quiscula,common grackle,common grackle,Common grackle,"(Linnaeus, 1758)",Quiscale bronzé,Common Grackle,Quiscale bronzé,Passeriformes,Icteridae,Agelaiinae,Quiscalus,Quiscalus quiscula,,,,,,Habitat Generalist,Temperate North America,Icteridae,landbird,M,other,native,67132986,61123537,74085853,2006,2015,PIF0615,BBS7017,1970,2017,82979125.77,73933518.93,92454560.05,79756716.13,86273630.06,67132985.88,61123536.5,74085852.5,0.408425194,0.055505963,200,1.25
Cooper's Hawk,Accipiter cooperii,COHA,ACCCOO,COHA,"Rosenfield et al., 2020","Rosenfield, R. N., Madden, K. K., Bielefeldt, J., & Curtis, O. E. (2020). Cooper’s Hawk (Accipiter cooperii), version 1.0. Birds of the World. https://doi.org/10.2173/bow.coohaw.01species_shared.bow.project_name",336.4,Long Point Bird Observatory,forests,birds,tree,aerial forager,low concern,Carnivore,air,hawker,Cooper's Hawk,Accipiter cooperii,cooper's hawk,Cooper's hawk,Cooper's hawk,"(Bonaparte, 1828)",Épervier de Cooper,Cooper's Hawk,Épervier de Cooper,Accipitriformes,Accipitridae,Accipitrinae,Accipiter,Accipiter cooperii,,,,,,Forest Generalist,Widespread,Accipitridae,landbird,M,other,native,844899,770821,925643,2006,2015,PIF0615,BBS7017,1970,2017,-797391.4002,-923902.4986,-681504.1168,-838337.3392,-756987.508,844899.446,770820.5,925643,0.266253374,0.002707433,125,2
Common Nighthawk,Chordeiles minor,CONI,CHOMIN,CONI,"Brigham et al., 2020","Brigham, R. M., Ng, J., Poulin, R. G., & Grindal, S. D. (2020). Common Nighthawk (Chordeiles minor), version 1.0. Birds of the World. https://doi.org/10.2173/bow.comnig.01species_shared.bow.project_name",79.3,Birds of the World,grasslands,insects,ground,aerial forager,common bird in steep decline,Insectivore,air,screener,Common Nighthawk,Chordeiles minor,common nighthawk,common nighthawk,Common nighthawk,"(Forster, 1771)",Engoulevent d'Amérique,Common Nighthawk,Engoulevent d'Amérique,Caprimulgiformes,Caprimulgidae,Chordeilinae,Chordeiles,Chordeiles minor,,,,,,Habitat Generalist,South America,Caprimulgidae,landbird,M,AI,native,21789605,19345867,24683737,2006,2015,PIF0615,BBS7017,1970,2017,25989825.55,22044492.66,30281368.46,24582540.53,27422670.46,21789605.22,19345867,24683737,2.15054635,0.015134556,300,2
Common Yellowthroat,Geothlypis trichas,COYE,GEOTRI,COYE,"Guzy and Ritchison, 2020","Guzy, M. J., & Ritchison, G. (2020). Common Yellowthroat (Geothlypis trichas), version 1.0. Birds of the World. https://doi.org/10.2173/bow.comyel.01species_shared.bow.project_name",10.46,Long Point Bird Observatory,scrub,insects,shrub,foliage gleaner,low concern,Insectivore,lower-canopy,gleaner,Common Yellowthroat,Geothlypis trichas,common yellowthroat,common yellowthroat,Common yellowthroat,"(Linnaeus, 1766)",Paruline masquée,Common Yellowthroat,Paruline masquée,Passeriformes,Parulidae,,Geothlypis,Geothlypis trichas,,,,,,Habitat Generalist,Widespread,Parulidae,landbird,M,other,native,75588462,70946562,80532206,2006,2015,PIF0615,BBS7017,1970,2017,35511230.11,29832666.32,41334660.23,33528490.82,37463004.49,75588461.56,70946561.5,80532205.5,0.105097389,0.010027601,125,2
Chestnut-sided Warbler,Setophaga pensylvanica,CSWA,SETPEN,CSWA,"Byers et al., 2020","Byers, B. E., Richardson, M., & Brauning, D. W. (2020). Chestnut-sided Warbler (Setophaga pensylvanica), version 1.0. Birds of the World. https://doi.org/10.2173/bow.chswar.01species_shared.bow.project_name",9.77,Long Point Bird Observatory,open woodlands,insects,shrub,foliage gleaner,low concern,Insectivore,lower-canopy,gleaner,Chestnut-sided Warbler,Setophaga pensylvanica,chestnut-sided warbler,chestnut-sided warbler,Chestnut-sided warbler,"(Linnaeus, 1766)",Paruline à flancs marron,Chestnut-sided Warbler,Paruline à flancs marron,Passeriformes,Parulidae,,Setophaga,Setophaga pensylvanica,,,,,,Eastern Forest,Mexico-Central America,Parulidae,landbird,M,other,native,18265512,16119410,20584431,2006,2015,PIF0615,BBS7017,1970,2017,11944485.17,9323966.206,14756127.43,10993906.55,12889519.97,18265512.41,16119409.5,20584431,0.207905027,0.009565074,125,2
Chuck-will's-widow,Antrostomus carolinensis,CWWI,ANTCAR,CWWI,"Straight and Cooper, 2020","Straight, C. A., & Cooper, R. J. (2020). Chuck-will’s-widow (Antrostomus carolinensis), version 1.0. Birds of the World. https://doi.org/10.2173/bow.chwwid.01species_shared.bow.project_name",108.9,Birds of the World,open woodlands,insects,ground,aerial forager,common bird in steep decline,Insectivore,air,screener,Chuck-will's-widow,Antrostomus carolinensis,chuck-will's-widow,chuck-will's-widow,Chuck-will's-widow,"(Gmelin, 1789)",Engoulevent de Caroline,Chuck-will's-widow,Engoulevent de Caroline,Caprimulgiformes,Caprimulgidae,Caprimulginae,Antrostomus,Antrostomus carolinensis,,,,,,Eastern Forest,Mexico-Central America,Caprimulgidae,landbird,M,AI,native,5642111,4800407,6606314,2006,2015,PIF0615,BBS7017,1970,2017,9545318.844,7869201.451,11235616.48,8976950.556,10121134.85,5642111.344,4800407,6606314,3.018785009,0.008504079,300,2
Downy Woodpecker,Dryobates pubescens,DOWO,DRYPUB,DOWO,"Jackson and Ouellet, 2020","Jackson, J. A., & Ouellet, H. R. (2020). Downy Woodpecker (Dryobates pubescens), version 1.0. Birds of the World. https://doi.org/10.2173/bow.dowwoo.01species_shared.bow.project_name",26.91,Long Point Bird Observatory,forests,insects,cavity,bark forager,low concern,Insectivore,bark,gleaner,Downy Woodpecker,Dryobates pubescens,downy woodpecker,downy woodpecker,Downy woodpecker,"(Linnaeus, 1766)",Pic mineur,Downy Woodpecker,Pic mineur,Piciformes,Picidae,Picinae,Dryobates,Dryobates pubescens,,Downy Woodpecker,Pa-pa'-se,"Cracking, from the noise the bird makes in pecking at trees. Picoides arcticus and Sphyrapicus varius occur, but are not distinguished from Picus Villosns",Picus villosus,Forest Generalist,Temperate North America,Picidae,landbird,R,other,native,13422111,12764602,14141250,2006,2015,PIF0615,BBS7017,1970,2017,-272579.7707,-1113823.719,535941.1548,-557745.5941,3753.167454,13422110.68,12764601.5,14141250,0.297784285,0.00653134,125,2
Eastern Bluebird,Sialia sialis,EABL,SIASIA,EABL,"Gowaty and Plissner, 2020","Gowaty, P. A., & Plissner, J. H. (2020). Eastern Bluebird (Sialia sialis), version 1.0. Birds of the World. https://doi.org/10.2173/bow.easblu.01species_shared.bow.project_name",29.2,Long Point Bird Observatory,grasslands,insects,cavity,ground forager,low concern,Insectivore,ground,gleaner,Eastern Bluebird,Sialia sialis,eastern bluebird,eastern bluebird,Eastern bluebird,"(Linnaeus, 1758)",Merlebleu de l'Est,Eastern Bluebird,Merlebleu de l'Est,Passeriformes,Turdidae,,Sialia,Sialia sialis,,Bluebird,O-zou-wash'-ko-bi-ne'-shi,The blue colored bird - Ozouwashko bineshi,Sialia sialis,Eastern Forest,Temperate North America,Turdidae,landbird,M,other,native,21439020,20142880,22957637,2006,2015,PIF0615,BBS7017,1970,2017,-10779212.81,-13724713.85,-8273352.598,-11748663.12,-9892269.551,21439019.66,20142880,22957636.5,0.161933803,0.010916627,125,1.5
Eastern Kingbird,Tyrannus tyrannus,EAKI,TYRTYR,EAKI,"Murphy and Pyle, 2020","Murphy, M. T., & Pyle, P. (2020). Eastern Kingbird (Tyrannus tyrannus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.easkin.01species_shared.bow.project_name",39.5,Long Point Bird Observatory,grasslands,insects,tree,flycatching,low concern,Insectivore,air,sallier,Eastern Kingbird,Tyrannus tyrannus,eastern kingbird,eastern kingbird,Eastern kingbird,"(Linnaeus, 1758)",Tyran tritri,Eastern Kingbird,Tyran tritri,Passeriformes,Tyrannidae,Tyranninae,Tyrannus,Tyrannus tyrannus,,,,,,Grassland,South America,Tyrannidae,landbird,M,AI,native,25924168,24123810,27704273,2006,2015,PIF0615,BBS7017,1970,2017,17516040.08,15312357.16,19904184.33,16740968.55,18314825.8,25924167.79,24123809.5,27704273,0.144573269,0.008622775,125,1.75
Eastern Meadowlark,Sturnella magna,EAME,STUMAG,EAME,"Jaster et al., 2022","Jaster, L. A., Jensen, W. E., Lanyon, W. E., & Mlodinow, S. G. (2022). Eastern Meadowlark (Sturnella magna), version 1.1. Birds of the World. https://doi.org/10.2173/bow.easmea.01.1species_shared.bow.project_name",84.2,Long Point Bird Observatory,grasslands,insects,ground,ground forager,common bird in steep decline,Insectivore,ground,gleaner,Eastern Meadowlark,Sturnella magna,eastern meadowlark,eastern meadowlark,Eastern meadowlark,"(Linnaeus, 1758)",Sturnelle des prés,Eastern Meadowlark,Sturnelle des prés,Passeriformes,Icteridae,Sturnellinae,Sturnella,Sturnella magna,,,,,,Grassland,Temperate North America,Icteridae,landbird,M,other,native,24431724,21928274,27309341,2006,2015,PIF0615,BBS7017,1970,2017,73964321.47,65250234.14,83087759,70911710.84,76898314.22,24431724.27,21928273.5,27309340.5,0.245182991,0.017067785,200,1.75
Eastern Phoebe,Sayornis phoebe,EAPH,SAYPHO,EAPH,"Weeks Jr., 2020","Weeks Jr., H. P. (2020). Eastern Phoebe (Sayornis phoebe), version 1.0. Birds of the World. https://doi.org/10.2173/bow.easpho.01species_shared.bow.project_name",18.49,Long Point Bird Observatory,open woodlands,insects,building,flycatching,low concern,Insectivore,air,sallier,Eastern Phoebe,Sayornis phoebe,eastern phoebe,eastern phoebe,Eastern phoebe,"(Latham, 1790)",Moucherolle phébi,Eastern Phoebe,Moucherolle phébi,Passeriformes,Tyrannidae,Fluvicolinae,Sayornis,Sayornis phoebe,,,,,,Eastern Forest,Temperate North America,Tyrannidae,landbird,M,other,native,34684436,32601625,37210378,2006,2015,PIF0615,BBS7017,1970,2017,-6237994.553,-11569888.33,-1599972.353,-7929945.083,-4557281.527,34684436.25,32601624.5,37210378,0.898152488,0.011850315,125,2
Eastern Screech-Owl,Megascops asio,EASO,MEGASI,EASO,"Ritchison et al., 2020","Ritchison, G., Gehlbach, F. R., Pyle, P., & Patten, M. A. (2020). Eastern Screech-Owl (Megascops asio), version 1.0. Birds of the World. https://doi.org/10.2173/bow.easowl1.01species_shared.bow.project_name",152.3,Long Point Bird Observatory,forests,small animals,cavity,aerial dive,low concern,Insectivore,ground,hawker,Eastern Screech-Owl,Megascops asio,eastern screech-owl,eastern screech-owl,Eastern screech-owl,"(Linnaeus, 1758)",Petit-duc maculé,Eastern Screech-Owl,Petit-duc maculé,Strigiformes,Strigidae,,Megascops,Megascops asio,,,,,,Eastern Forest,Temperate North America,Strigidae,landbird,R,other,native,496240,378219,645235,2006,2015,PIF0615,BBS7017,1970,2017,218413.2463,124949.7518,323159.2699,184260.0128,253383.0037,496240.296,378218.5,645235,2.114649232,0.001820302,125,2
Eastern Towhee,Pipilo erythrophthalmus,EATO,PIPERY,EATO,"Greenlaw, 2020","Greenlaw, J. S. (2020). Eastern Towhee (Pipilo erythrophthalmus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.eastow.01species_shared.bow.project_name",38.94,Long Point Bird Observatory,scrub,omnivore,ground,ground forager,low concern,Omnivore,ground,forage,Eastern Towhee,Pipilo erythrophthalmus,eastern towhee,eastern towhee,Eastern towhee,"(Linnaeus, 1758)",Tohi à flancs roux,Eastern Towhee,Tohi à flancs roux,Passeriformes,Passerellidae,,Pipilo,Pipilo erythrophthalmus,,,,,,Eastern Forest,Temperate North America,Passerellidae,landbird,M,other,native,29338492,27153590,31703146,2006,2015,PIF0615,BBS7017,1970,2017,23885937.55,21115303.59,26746898.51,22944886.75,24854886.86,29338491.92,27153590,31703145.5,0.302646684,0.016049386,125,2
Eastern Wood-Pewee,Contopus virens,EAWP,CONVIR,EAWP,"Watt et al., 2020","Watt, D. J., McCarty, J. P., Kendrick, S. W., Newell, F. L., & Pyle, P. (2020). Eastern Wood-Pewee (Contopus virens), version 1.0. Birds of the World. https://doi.org/10.2173/bow.eawpew.01species_shared.bow.project_name",14.1,Long Point Bird Observatory,forests,insects,tree,flycatching,low concern,Insectivore,air,sallier,Eastern Wood-pewee,Contopus virens,eastern wood-pewee,eastern wood-pewee,Eastern wood-pewee,"(Linnaeus, 1766)",Pioui de l'Est,Eastern Wood-Pewee,Pioui de l'Est,Passeriformes,Tyrannidae,Fluvicolinae,Contopus,Contopus virens,,,,,,Eastern Forest,South America,Tyrannidae,landbird,M,AI,native,6454082,5897588,7036229,2006,2015,PIF0615,BBS7017,1970,2017,5199068.396,4563751.338,5878004.75,4979383.189,5432502.567,6454082.25,5897587.5,7036229,0.110277554,0.008288144,200,2
European Starling,Sturnus vulgaris,EUST,STUVUL,EUST,"Cabe, 2020","Cabe, P. R. (2020). European Starling (Sturnus vulgaris), version 1.0. Birds of the World. https://doi.org/10.2173/bow.eursta.01species_shared.bow.project_name",77.07,Birds of the World,towns,insects,cavity,ground forager,low concern,Omnivore,ground,forager,European Starling,Sturnus vulgaris,european starling,european starling,European starling,"(Linnaeus, 1758)",Étourneau sansonnet,European Starling,Étourneau sansonnet,Passeriformes,Sturnidae,,Sturnus,Sturnus vulgaris,I,,,,,Introduced,Introduced,Sturnidae,other,Introduced,other,Introduced,93371907,85941592,102256039,2006,2015,PIF0615,BBS7017,1970,2017,83350978.13,72594864.68,94770107,79563581.94,87124508.54,93371906.9,85941592,102256038.5,0.455644428,0.068393305,200,1
Eastern Whip-poor-will,Antrostomus vociferus,EWPW,ANTVOC,EWPW,"Cink et al., 2020","Cink, C. L., Pyle, P., & Patten, M. A. (2020). Eastern Whip-poor-will (Antrostomus vociferus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.whip-p1.01species_shared.bow.project_name",53.4,Long Point Bird Observatory,open woodlands,insects,ground,aerial forager,declining,Insectivore,air,screener,Eastern Whip-poor-will,Antrostomus vociferus,eastern whip-poor-will,eastern whip-poor-will,Eastern whip-poor-will,"(Wilson, 1812)",Engoulevent bois-pourri,Eastern Whip-poor-will,Engoulevent bois-pourri,Caprimulgiformes,Caprimulgidae,Caprimulginae,Antrostomus,Antrostomus vociferus,,,,,,Eastern Forest,Mexico-Central America,Caprimulgidae,landbird,M,AI,native,1829892,1442373,2231099,2006,2015,PIF0615,BBS7017,1970,2017,4073303.177,3167558.722,5043394.939,3755959.657,4396909.548,1829892.412,1442373,2231098.5,3.32522679,0.00433927,300,2
Field Sparrow,Spizella pusilla,FISP,SPIPUS,FISP,"Carey et al., 2020","Carey, M., Burhans, D. E., & Nelson, D. A. (2020). Field Sparrow (Spizella pusilla), version 1.0. Birds of the World. https://doi.org/10.2173/bow.fiespa.01species_shared.bow.project_name",12.04,Long Point Bird Observatory,scrub,insects,ground,ground forager,common bird in steep decline,Omnivore,ground,forage,Field Sparrow,Spizella pusilla,field sparrow,field sparrow,Field sparrow,"(Wilson, 1810)",Bruant des champs,Field Sparrow,Bruant des champs,Passeriformes,Passerellidae,,Spizella,Spizella pusilla,,,,,,Eastern Forest,Temperate North America,Passerellidae,landbird,M,other,native,9333611,8343751,10393211,2006,2015,PIF0615,BBS7017,1970,2017,16311718.95,14318722.81,18466928.12,15619987.63,17003536.32,9333610.712,8343751,10393211,0.080762136,0.009480465,200,2
Great Crested Flycatcher,Myiarchus crinitus,GCFL,MYICRI,GCFL,"Miller and Lanyon, 2020","Miller, K. E., & Lanyon, W. E. (2020). Great Crested Flycatcher (Myiarchus crinitus), version 1.0. Birds of the World. https://doi.org/10.2173/bow.grcfly.01species_shared.bow.project_name",34.7,Long Point Bird Observatory,open woodlands,insects,cavity,flycatching,low concern,Insectivore,air,sallier,Great Crested Flycatcher,Myiarchus crinitus,great crested flycatcher,great crested flycatcher,Great crested flycatcher,"(Linnaeus, 1758)",Tyran huppé,Great Crested Flycatcher,Tyran huppé,Passeriformes,Tyrannidae,Tyranninae,Myiarchus,Myiarchus crinitus,,,,,,Eastern Forest,Mexico-Central America,Tyrannidae,landbird,M,other,native,8799301,7950620,9769449,2006,2015,PIF0615,BBS7017,1970,2017,-62367.58929,-526726.854,384674.2572,-216835.3196,93743.71008,8799301.04,7950620,9769448.5,0.223953898,0.009044568,200,1.75
Great Horned Owl,Bubo virginianus,GHOW,BUBVIR,GHOW,"Artuso et al., 2022","Artuso, C., Houston, C. S., Smith, D. G., & Rohner, C. (2022). Great Horned Owl (Bubo virginianus), version 1.1. Birds of the World. https://doi.org/10.2173/bow.grhowl.01.1species_shared.bow.project_name",1505,Birds of the World,forests,mammals,tree,aerial dive,low concern,Carnivore,ground,hawker,Great Horned Owl,Bubo virginianus,great horned owl,great horned owl,Great horned owl,"(Gmelin, 1788)",Grand-duc d'Amérique,Great Horned Owl,Grand-duc d'Amérique,Strigiformes,Strigidae,,Bubo,Bubo virginianus,,Great Horned Owl ,O-tow'-i-ge-o-ko'-ko-ko-o',horned owl,Bubo virginianus,Habitat Generalist,Widespread,Strigidae,landbird,R,other,native,3784896,3310994,4288285,2006,2015,PIF0615,BBS7017,1970,2017,527838.3646,169392.6535,873174.1969,407990.5842,644859.0379,3784896.465,3310993.5,4288284.5,2.450156066,0.003001912,300,2
Gray Catbird,Dumetella carolinensis,GRCA,DUMCAR,GRCA,"Smith et al., 2020","Smith, R. J., Hatch, M. I., Cimprich, D. A., & Moore, F. R. (2020). Gray Catbird (Dumetella carolinensis), version 1.0. Birds of the World. https://doi.org/10.2173/bow.grycat.01species_shared.bow.project_name",35.68,Long Point Bird Observatory,open woodlands,insects,shrub,ground forager,low concern,Omnivore,ground,forager,Gray Catbird,Dumetella carolinensis,gray catbird,gray catbird,Gray catbird,"(Linnaeus, 1766)",Moqueur chat,Gray Catbird,Moqueur chat,Passeriformes,Mimidae,,Dumetella,Dumetella carolinensis,,,,,,Eastern Forest,Mexico-Central America,Mimidae,landbird,M,other,native,28700211,26885945,30804790,2006,2015,PIF0615,BBS7017,1970,2017,-748542.1412,-2385990.751,805912.1651,-1308625.667,-201772.8452,28700211.15,26885944.5,30804790,0.424676515,0.013687414,125,2
