,,Adult (A),,,,,,,Immature (im),,,,,
sp_common_name_uppercase_IBP,sp_weight_g,A_MALE_sp_weight_min_g,A_MALE_sp_weight_max_g,A_MALE_avg_weight_g,A_MALE_sp_weight_samplesize,A_FEMALE_sp_weight_min_g,A_FEMALE_sp_weight_max_g,A_FEMALE_sp_weight_samplesize,im_MALE_sp_weight_min_g,im_MALE_sp_weight_max_g,im_MALE_sp_weight_samplesize,im_FEMALE_sp_weight_min_g,im_FEMALE_sp_weight_max_g,im_FEMALE_sp_weight_samplesize
American Black Duck,1204,,,,,,,,,,,,,
American Goldfinch,12.84,,,,,,,,,,,,,
American Goshawk,1050.75,,,,,,,,,,,,,
American Bittern,748.5,,,,,,,,,,,,,
American Crow,506,,,,,,,,,,,,,
American Kestrel,115.5,,,,,,,,,,,,,
American Redstart,8.29,,,,,,,,,,,,,
American Robin,78.09,,,,,,,,,,,,,
American Woodcock,161.17,,,,,,,,,,,,,
Bald Eagle,4897.5,,,,,,,,,,,,,
Bank Swallow,14,,,,,,,,,,,,,
Baltimore Oriole,34.12,,,,,,,,,,,,,
Black-billed Cuckoo,50.85,,,,,,,,,,,,,
Black-capped Chickadee,10.76,,,,,,,,,,,,,
Belted Kingfisher,148.75,,,,,,,,,,,,,
Blue-gray Gnatcatcher,6.02,,,,,,,,,,,,,
Brown-headed Cowbird,46.33,,,,,,,,,,,,,
Blackburnian Warbler,10.04,,,,,,,,,,,,,
Blue Jay,85.46,,,,,,,,,,,,,
Bobolink,31.91,,,,,,,,,,,,,
Brown Creeper,7.95,,,,,,,,,,,,,
Brown Thrasher,68.09,,,,,,,,,,,,,
Black-throated Green Warbler,8.97,,,,,,,,,,,,,
Canada Goose,4841.65,,,,,,,,,,,,,
Carolina Wren,19.47,,,,,,,,,,,,,
Canada Warbler,10.4,,,,,,,,,,,,,
Cedar Waxwing,33.1,,,,,,,,,,,,,
Chipping Sparrow,12.18,,,,,,,,,,,,,
Chimney Swift,22.88,,,,,,,,,,,,,
Common Grackle,110.56,,,,,,,,,,,,,
Cooper's Hawk,336.4,,,,,,,,,,,,,
Common Nighthawk,79.3,,,,,,,,,,,,,
Common Yellowthroat,10.46,,,,,,,,,,,,,
Chestnut-sided Warbler,9.77,,,,,,,,,,,,,
Chuck-will's-widow,108.9,,,,,,,,,,,,,
Downy Woodpecker,26.91,,,,,,,,,,,,,
Eastern Bluebird,29.2,,,,,,,,,,,,,
Eastern Kingbird,39.5,,,,,,,,,,,,,
Eastern Meadowlark,84.2,,,,,,,,,,,,,
Eastern Phoebe,18.49,,,,,,,,,,,,,
Eastern Screech-Owl,152.3,,,,,,,,,,,,,
Eastern Towhee,38.94,,,,,,,,,,,,,
Eastern Wood-Pewee,14.1,,,,,,,,,,,,,
European Starling,77.07,,,,,,,,,,,,,
Eastern Whip-poor-will,53.4,,,,,,,,,,,,,
Field Sparrow,12.04,,,,,,,,,,,,,
Great Crested Flycatcher,34.7,,,,,,,,,,,,,
Great Horned Owl,1505,,,,,,,,,,,,,
Gray Catbird,35.68,,,,,,,,,,,,,
Green Heron,241,,,,,,,,,,,,,
Hairy Woodpecker,69.55,,,,,,,,,,,,,
House Finch,21.7,,,,,,,,,,,,,
Hooded Merganser,680,595,879,680,19,453,652,12,,,,,,
Indigo Bunting,14.26,,,,,,,,,,,,,
Killdeer,58.63,,,,,,,,,,,,,
Least Bittern,92.42,,,,,,,,,,,,,
Least Flycatcher,10.06,,,,,,,,,,,,,
Mallard,1113,,,,,,,,,,,,,
Magnolia Warbler,8.65,,,,,,,,,,,,,
Marsh Wren,11.52,,,,,,,,,,,,,
Mourning Dove,131.52,,,,,,,,,,,,,
Northern House Wren,10.67,,,,,,,,,,,,,
Northern Cardinal,42.03,,,,,,,,,,,,,
Northern Flicker,127.12,,,,,,,,,,,,,
Northern Mockingbird,48.05,,,,,,,,,,,,,
Northern Rough-winged Swallow,16.15,,,,,,,,,,,,,
Northern Saw-whet Owl,104.25,,,,,,,,,,,,,
Orchard Oriole,21.17,,,,,,,,,,,,,
Pied-billed Grebe,416,,,,,,,,,,,,,
Pine Warbler,11.53,,,,,,,,,,,,,
Prothonotary Warbler,14.67,,,,,,,,,,,,,
Rose-breasted Grosbeak,45.91,,,,,,,,,,,,,
Red-breasted Nuthatch,10.48,,,,,,,,,,,,,
Red-bellied Woodpecker,72.54,,,,,,,,,,,,,
Red-eyed Vireo,17.29,,,,,,,,,,,,,
Red-headed Woodpecker,70.78,,,,,,,,,,,,,
Red-tailed Hawk,1126,,,,,,,,,,,,,
Ruby-throated Hummingbird,3.2,,,,,,,,,,,,,
Red-winged Blackbird,58.02,,,,,,,,,,,,,
Scarlet Tanager,29.44,,,,,,,,,,,,,
Sora,89.33,,,,,,,,,,,,,
Song Sparrow,20.68,,,,,,,,,,,,,
Spotted Sandpiper,40.65,,,,,,,,,,,,,
Sharp-shinned Hawk,141.25,,,,,,,,,,,,,
Swamp Sparrow,16.41,,,,,,,,,,,,,
Tree Swallow,21.55,,,,,,,,,,,,,
Veery,31.63,,,,,,,,,,,,,
Virginia Rail,81.28,,,,,,,,,,,,,
Warbling Vireo,13.47,,,,,,,,,,,,,
White-breasted Nuthatch,20.68,,,,,,,,,,,,,
White-eyed Vireo,11.04,,,,,,,,,,,,,
Willow Flycatcher,13.4,,,,,,,,,,,,,
Wilson's Snipe,112.07,,,,,,,,,,,,,
Wild Turkey,4130,,,,,,,,,,,,,
Winter Wren,8.27,,,,,,,,,,,,,
Wood Duck,657.5,,,,,,,,,,,,,
White-throated Sparrow,26.1,,,,,,,,,,,,,
Yellow-billed Cuckoo,58.38,,,,,,,,,,,,,
Yellow Warbler,9.73,,,,,,,,,,,,,
Yellow-throated Vireo,16.67,,,,,,,,,,,,,
