record,sampling_year_yyyy,site_code_abcd,ABDU,AMBI,AMCR,AMGO,AMRE,AMRO,AMWO,BAEA,BANS,BAOR,BBCU,BCCH,BGGN,BHCO,BLJA,BOBO,BRTH,CAGO,CARW,CAWA,CEDW,CHSP,CHSW,COGR,COYE,CSWA,CWWI,DOWO,EABL,EAKI,EAME,EASO,EATO,EAWP,EUST,EWPW,FISP,GCFL,GHOW,GRCA,GRHE,HAWO,HOME,HOWR,INBU,KILL,LEBI,LEFL,MALL,MAWR,MODO,NOCA,NOFL,NOMO,NRWS,OROR,PBGR,PIWA,PROW,RBGR,RBNU,RBWO,REVI,RHWO,RTHA,RTHU,RWBL,SCTA,SOSP,SPSA,SSHA,SWSP,TRES,VIRA,WAVI,WBNU,WEVI,WIFL,WISN,WITU,WODU,YBCU,YWAR
1,1991,BGGR,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1991,DCJS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
3,1991,DCSD,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
4,1991,IDSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0
5,1991,RARO,0,0,0,2,0,0,1,0,0,6,0,2,0,4,1,0,0,0,0,0,0,0,0,5,7,0,0,2,0,5,0,0,1,9,6,0,3,2,0,1,0,1,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,14,0,0,0,7,0,1,0,0,0,0,0,0,0,10
6,1991,ROIS,0,0,0,4,3,1,0,0,0,6,0,3,0,3,0,0,0,0,1,0,1,0,0,6,9,0,0,3,0,8,0,0,0,15,8,0,0,2,1,0,0,0,0,13,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,20,0,0,1,8,0,6,0,0,0,0,0,0,0,12
7,1991,ROMF,0,0,0,0,0,2,1,0,0,11,0,3,0,1,2,0,0,0,0,0,0,0,0,7,5,0,0,5,0,7,0,0,2,9,2,0,0,5,0,0,0,0,0,14,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,9,1,0,0,15,0,12,0,0,0,11,0,0,2,0,0,0,0,0,0,6
8,1991,ROMS,0,0,0,0,4,3,1,0,0,8,0,2,0,2,1,0,0,0,0,0,1,0,0,5,9,0,0,2,0,5,0,0,0,12,7,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,22,0,15,0,0,0,6,0,4,1,0,0,0,0,0,0,13
9,1991,ROWB,0,0,0,1,0,3,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,1,0,2,4,0,0,1,0,2,0,0,0,3,1,1,0,3,0,0,0,0,0,11,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,3,0,0,0,9,0,1,0,0,0,0,0,0,0,3
10,1991,ROWP,1,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,23,0,16,0,0,0,9,0,0,0,0,0,0,0,0,0,3
11,1991,SRS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1991,SRS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1991,STDP,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,5
14,1991,TMSL,0,0,0,3,0,0,2,0,0,3,1,4,0,0,1,0,3,0,3,0,1,1,0,7,11,0,0,0,0,3,0,0,1,3,0,0,1,2,0,3,0,0,0,10,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,1,3,0,0,0,0,0,0,0,0,0,2
15,1991,WPWC,0,0,0,0,0,1,0,0,0,5,0,2,0,1,1,0,2,0,0,1,1,5,0,1,8,0,1,0,0,2,0,0,5,3,0,0,3,2,0,2,0,0,0,21,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,2016,BGGR,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,6,0,0,0,0,3,0,0,3,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,15
17,2016,DCJS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,18,0,0,1,0,0,0,0,2,0,0,3,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4
18,2016,DCSD,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
19,2016,IDSS,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,4,0,0,0,0,3,0,0,1,0,1,0,11,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
20,2016,RARO,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,1,10,0,0,1,0,5,0,1,4,6,2,2,4,3,0,5,0,0,0,8,3,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,6,0,0,1,12,0,1,0,0,1,5,0,2,1,0,0,0,0,0,2,28
21,2016,ROIS,0,0,0,1,6,4,2,0,0,3,0,4,3,3,0,0,2,0,0,0,0,0,1,0,10,0,0,1,0,4,0,0,0,7,2,0,0,2,0,6,0,0,0,14,2,0,0,3,0,1,3,1,2,0,0,0,0,0,0,0,0,0,7,0,0,0,15,0,5,0,0,0,4,0,9,2,0,0,0,0,0,1,46
22,2016,ROMF,0,0,1,0,7,2,0,0,0,6,0,2,3,0,1,0,0,0,0,0,0,0,1,4,9,0,0,2,0,3,0,0,1,7,0,1,0,4,0,7,0,1,0,10,5,0,0,0,0,0,0,2,3,0,0,2,0,0,0,2,0,2,9,0,0,2,7,0,3,0,0,0,7,0,2,1,0,0,0,0,0,2,22
23,2016,ROMS,0,0,0,0,1,3,1,0,0,5,0,3,2,3,1,0,0,0,0,0,0,0,1,2,10,0,0,2,0,5,0,0,1,10,1,2,0,2,0,7,0,0,0,12,6,0,0,0,0,0,2,2,2,0,0,1,0,0,0,0,0,2,9,0,0,0,15,0,5,0,0,0,2,0,9,1,0,0,0,0,0,2,35
24,2016,ROWB,0,0,0,0,0,2,0,0,0,5,0,2,0,0,2,0,1,0,0,0,0,0,0,2,9,0,0,0,0,3,0,0,2,5,1,1,0,4,0,4,0,0,0,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,2,3,0,4,0,0,0,0,0,0,2,11
25,2016,ROWP,0,0,0,0,1,3,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,2,2,11,1,0,0,0,4,0,0,1,5,2,0,0,0,0,5,0,0,0,3,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,22,0,3,0,0,1,2,0,6,0,0,0,0,0,0,1,21
26,2016,SRS1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,2016,SRS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
28,2016,STDP,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,18
29,2016,TMSL,0,0,1,0,1,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,6,0,0,6,0,0,0,0,3,0,0,3,0,0,1,1,1,0,3,0,0,0,4,1,0,0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,2,0,0,3,1,0,0,0,1,0,0,0,0,1,28
30,2016,WPWC,0,0,0,0,1,4,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,5,0,1,8,0,0,0,0,3,0,0,6,1,0,1,1,1,0,8,0,0,0,11,0,0,0,0,0,0,4,2,1,0,0,0,0,2,0,0,2,0,7,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,19
31,2021,BGGR,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,5,0,1,14,0,0,0,0,3,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
32,2021,DCJS,0,0,0,0,0,0,2,0,0,0,0,2,1,2,0,0,3,0,0,0,1,18,0,1,0,0,0,0,0,2,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8
33,2021,DCSD,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
34,2021,IDSS,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,4,0,4,0,0,0,0,0,2,0,0,0,0,2,2,11,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,2021,RARO,0,0,0,0,3,2,1,0,0,4,0,1,1,3,1,0,0,0,0,0,0,0,0,2,12,0,0,1,0,4,0,1,1,5,1,2,2,3,0,4,0,0,0,21,3,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,17,0,1,0,0,0,5,0,5,1,0,0,0,1,0,1,28
36,2021,ROIS,0,0,0,0,1,6,1,1,0,6,0,3,4,1,1,0,0,0,0,0,0,0,0,4,10,0,0,1,0,9,0,1,0,9,9,0,0,2,0,3,0,0,0,18,0,0,0,0,1,0,2,1,2,0,0,1,0,0,0,0,0,0,5,0,0,0,40,0,1,0,0,0,7,1,17,2,0,1,0,0,1,2,43
37,2021,ROMF,0,0,0,0,8,3,1,0,0,11,0,0,0,2,1,0,0,0,0,0,0,0,0,7,7,0,0,0,0,4,0,0,0,7,2,3,0,5,1,3,0,0,0,10,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,2,16,0,0,0,12,0,0,0,0,1,6,0,9,1,0,0,0,1,1,2,16
38,2021,ROMS,0,0,0,0,1,3,1,1,0,8,0,2,4,2,3,0,0,0,0,0,0,0,0,3,8,0,0,2,0,7,0,2,0,12,2,0,0,3,0,10,0,0,0,28,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,14,0,1,1,32,0,1,0,0,0,10,1,15,0,0,0,0,0,0,2,47
39,2021,ROWB,0,0,0,0,3,3,0,1,0,3,0,1,0,1,2,0,0,0,0,0,0,0,1,2,11,0,0,1,0,2,0,1,1,4,2,2,0,2,0,4,0,0,0,10,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,9,0,0,0,10,1,0,0,0,1,4,0,0,0,0,0,0,1,0,3,9
40,2021,ROWP,0,0,1,0,1,1,2,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,3,10,0,0,0,0,6,0,1,0,3,2,0,0,0,0,5,1,0,0,5,0,0,0,0,0,3,4,2,0,0,0,2,0,0,0,0,0,0,2,0,0,1,28,0,0,0,0,0,3,0,7,0,0,0,0,0,1,2,24
41,2021,SRS1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
42,2021,SRS2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
43,2021,STDP,0,0,0,1,0,0,0,0,0,1,0,2,0,1,1,0,3,0,0,0,1,3,0,2,15,0,0,0,0,4,0,0,5,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,18
44,2021,TMSL,0,0,0,0,0,3,2,0,0,0,0,3,0,0,3,0,1,0,2,0,0,3,0,4,10,0,0,0,0,2,0,0,5,0,0,0,1,4,0,4,1,1,0,0,1,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,21,0,1,0,0,0,2,0,0,0,0,0,0,0,2,3,19
45,2021,WPWC,0,0,0,0,0,3,1,0,0,0,0,2,0,0,1,0,0,0,1,0,1,4,0,1,6,0,0,0,0,2,0,1,7,3,0,1,0,2,0,2,0,1,0,11,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2
